"No.","Time","Source","Destination","Protocol","Length","Info"
"683","58.089593697","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"684","58.089637530","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"686","58.089722149","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"687","58.089722320","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"688","58.089795968","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"689","58.089912898","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"690","58.089954817","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"691","58.090696945","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"692","58.090763830","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"693","58.090763871","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"694","58.090837840","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"695","58.093708194","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"697","58.115074822","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"698","58.115075463","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"699","58.115234442","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"700","58.115234563","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"701","58.115234593","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"702","58.116235457","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"703","58.116236048","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"704","58.116380981","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"705","58.116381061","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"706","58.116381091","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"707","58.116457996","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"709","58.116533258","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"710","58.117002191","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"711","58.117123399","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"712","58.117123489","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"713","58.118663529","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"714","58.118813691","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"715","58.118899363","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"716","58.118955839","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"717","58.119014499","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"719","58.121449484","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"720","58.122527604","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"721","58.122617783","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"722","58.122617854","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"723","58.122696482","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"724","58.122696502","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"725","58.122738040","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"726","58.122782373","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"727","58.122831997","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"728","58.122899263","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"729","58.122978062","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"730","58.122978132","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"731","58.123019911","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"733","58.123080425","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"734","58.123196072","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"735","58.123196172","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"736","58.123264050","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"737","58.123313854","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"738","58.123358218","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"739","58.123437958","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"741","58.149191345","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
