"No.","Time","Source","Destination","Protocol","Length","Info"
"311","19.213943751","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"312","19.223465350","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"313","19.223465991","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"314","19.223466011","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"315","19.223466031","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"316","19.223466051","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"317","19.223466071","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"318","19.223466101","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"319","19.223466121","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"320","19.223511296","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"321","19.223511316","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"322","19.223511346","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"323","19.223511366","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"324","19.223511386","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"325","19.223511406","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"326","19.223511436","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"327","19.223511456","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"329","19.223601235","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"331","19.223782444","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"332","19.223782565","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"333","19.223918590","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"334","19.223918690","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"335","19.223918720","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"336","19.224006625","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"337","19.224006705","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"338","19.224006735","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"339","19.224006755","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"340","19.224084230","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"341","19.224084261","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"342","19.224084281","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"343","19.224134795","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"344","19.224134845","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"345","19.224134875","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"346","19.224174600","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"347","19.224174630","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"348","19.224219073","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"349","19.224219103","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"350","19.224263727","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"353","19.226697372","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"354","19.226698474","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"355","19.226698494","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"356","19.226698514","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"357","19.226698544","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"358","19.226698564","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"359","19.226698584","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"360","19.226698604","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"361","19.226851752","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"362","19.226851792","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"363","19.226851812","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"364","19.226851842","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"365","19.226912185","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"366","19.226992095","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"367","19.226992195","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"368","19.227123842","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"371","19.235083631","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"372","19.235084292","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"373","19.235084363","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"374","19.235084473","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"375","19.235084503","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"376","19.235084523","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"377","19.235601643","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"379","19.241106759","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"381","19.250138689","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"382","19.250139150","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"383","19.250139180","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"384","19.250139200","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"385","19.250214301","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"386","19.250214341","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"387","19.250214361","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"388","19.250250910","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"389","19.250284212","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"390","19.250284242","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"391","19.250333535","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"392","19.250333665","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"393","19.250378028","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"394","19.250378068","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"396","19.250417101","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"397","19.250417121","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"398","19.251501059","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"399","19.251501390","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"400","19.251501410","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"401","19.251571011","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"402","19.251571071","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"403","19.251571091","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"405","19.253927275","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"406","19.254002721","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"407","19.254002822","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"408","19.254041925","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"409","19.254079826","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"410","19.254079866","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"411","19.254114170","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"412","19.254114190","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"413","19.254154536","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"414","19.254201935","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"415","19.254201955","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"417","19.254256938","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"418","19.254256958","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"419","19.254295881","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"420","19.254394406","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"421","19.254394466","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"422","19.254394486","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"423","19.254494283","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"424","19.254494313","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"425","19.254541382","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"426","19.254541432","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"428","19.254589031","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"429","19.254589051","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
